Measurement Number,EW Slope,Down/Up,NS Slope vector,Down/Up,Column Number
1,1.4,U,1,D,0
2,0.2,U,1.5,D,1
3,0.9,D,0.9,D,1
4,0.6,D,0.8,D,1
5,0.1,U,0.5,D,1
6,0.7,D,1,D,1
7,1.1,D,1.8,D,1
8,1.2,D,1.2,D,2
9,1.8,D,0.5,D,2
10,1.9,D,1.2,D,2
11,1.7,D,0.8,D,2
12,1.3,D,0.7,D,2
13,0.9,D,1.1,D,2
14,0.9,D,1.6,D,2
15,0.4,D,2.2,D,2
16,0.2,D,1.8,D,2
17,1.3,D,1.3,D,3
18,1.2,D,1.3,D,3
19,1.5,D,0.8,D,3
20,1.3,D,1.1,D,3
21,1.4,D,1.1,D,3
22,0.9,D,0.9,D,3
23,0.8,D,2,D,3
24,1,D,1.5,D,3
25,0.8,D,1.9,D,3
26,0.8,D,1.1,D,4
27,0.9,D,0.7,D,4
28,1.5,D,0.4,D,4
29,1.3,D,1.6,D,4
30,1.1,D,1,D,4
31,1.4,D,1,D,4
32,1.3,D,1.7,D,4
33,1.3,D,1.7,D,4
34,0.8,D,2.4,D,4
35,0.5,D,0.2,D,5
36,0.5,D,0.6,D,5
37,1,D,0.4,D,5
38,1.1,D,1.6,D,5
39,1.2,D,0.6,D,5
40,1.1,D,1.5,D,5
41,0.5,D,1.7,D,5
42,1.1,D,2.6,D,5
43,1.2,D,1.8,D,5
44,0.6,D,0.5,D,6
45,1,D,0.1,D,6
46,0.5,D,0.9,D,6
47,1,D,0.7,D,6
48,1.3,D,0.1,D,6
49,0.7,D,1.8,D,6
50,1.3,D,2,D,6
51,1.1,D,1.5,D,7
52,0.6,D,0.2,D,7
53,0.2,D,1,D,7
54,0.2,D,0.9,D,7
55,0.9,D,2.4,D,7
56,2.3,D,0.2,U,7
57,0.2,D,2.1,D,8
58,0.1,U,1.1,D,8
59,0.4,U,1,D,8
60,0.2,U,0.8,D,8
61,0.4,D,1.7,D,8
62,0,U,1.9,D,9
63,0.2,D,2.2,D,9
64,0.5,D,0.6,D,9
65,0.2,D,0.9,D,9
66,0.7,D,0.1,U,9
67,0.5,D,2.4,D,10
68,0.4,D,1.6,D,10
69,0.5,D,0.6,D,10
70,0.5,U,0.4,D,10
71,0.4,D,0.9,D,10
72,0.2,D,2.9,D,11
73,0.6,D,1.8,D,11
74,0.2,U,0.4,D,11
75,0.3,U,0.9,D,11
76,0.1,U,0.3,U,11
77,0.8,D,3.1,D,12
78,0.6,U,0.9,D,12
79,0.1,U,2.1,D,12
80,0.4,U,1.2,D,12
81,1.5,D,0.1,U,13